        Frequency / THz                Eps' (Fit)/real
               563.41339                      -4.6726694
               563.68225                      -4.6592755
               563.75378                      -4.6557183
               564.09412                      -4.6388178
               564.43439                      -4.6219687
               564.77478                      -4.6051707
               565.11511                      -4.5884242
               565.45544                      -4.5717282
               565.79578                      -4.5550833
               566.13617                      -4.5384893
               566.47644                       -4.521946
               566.81683                      -4.5054536
               567.00922                      -4.4961514
               567.15717                      -4.4890122
                567.4975                      -4.4726214
               567.83783                      -4.4562817
               568.17822                      -4.4399924
               568.51849                      -4.4237537
               568.85889                      -4.4075656
               569.19922                       -4.391428
               569.53949                      -4.3753409
               569.87988                      -4.3593044
               570.22021                      -4.3433185
                570.3559                      -4.3369603
               570.56055                      -4.3273826
               570.90088                      -4.3114972
               571.24127                      -4.2956619
               571.58154                      -4.2798772
               571.92194                      -4.2641425
               572.26227                      -4.2484579
                572.6026                      -4.2328234
               572.94293                      -4.2172389
               573.28333                      -4.2017045
                573.6236                      -4.1862202
               573.72229                      -4.1817417
               573.96399                      -4.1707854
               574.30432                      -4.1554012
               574.64459                      -4.1400661
               574.98499                      -4.1247811
               575.32532                      -4.1095462
               575.66565                      -4.0943604
               576.00598                      -4.0792246
               576.34637                      -4.0641384
               576.68665                      -4.0491014
               577.02704                      -4.0341144
               577.10852                      -4.0305333
               577.36737                      -4.0191765
                577.7077                      -4.0042882
               578.04803                       -3.989449
               578.38843                      -3.9746592
                578.7287                      -3.9599187
               579.06909                      -3.9452274
               579.40942                      -3.9305854
               579.74969                      -3.9159923
               580.09009                      -3.9014482
               580.43042                      -3.8869534
               580.51477                      -3.8833697
               580.77075                      -3.8725073
               581.11108                      -3.8581104
               581.45148                      -3.8437622
               581.79175                      -3.8294628
               582.13214                       -3.815212
               582.47247                      -3.8010101
               582.81281                      -3.7868569
               583.15314                       -3.772752
               583.49353                      -3.7586958
                583.8338                      -3.7446883
               583.94104                      -3.7402835
               584.17419                      -3.7307289
               584.51453                      -3.7168181
                584.8548                      -3.7029555
               585.19519                      -3.6891413
               585.53552                      -3.6753752
               585.87585                      -3.6616573
               586.21619                      -3.6479876
               586.55658                       -3.634366
               586.89685                      -3.6207924
               587.23724                      -3.6072667
               587.38763                      -3.6013036
               587.57758                      -3.5937886
               587.91791                      -3.5803587
               588.25824                      -3.5669765
               588.59863                       -3.553642
                588.9389                       -3.540355
                589.2793                      -3.5271158
               589.61963                      -3.5139241
                589.9599                      -3.5007799
               590.30029                      -3.4876831
               590.64063                      -3.4746337
               590.85455                      -3.4664552
               590.98102                      -3.4616318
               591.32129                      -3.4486768
               591.66168                      -3.4357693
               592.00195                      -3.4229088
               592.34235                      -3.4100952
               592.68268                      -3.3973289
               593.02307                      -3.3846095
               593.36334                       -3.371937
               593.70374                      -3.3593113
               594.04407                      -3.3467324
               594.34192                      -3.3357601
                594.3844                      -3.3342001
               594.72473                      -3.3217146
                 595.065                      -3.3092756
                595.4054                      -3.2968831
               595.74573                      -3.2845373
               596.08612                      -3.2722378
               596.42639                      -3.2599845
               596.76678                      -3.2477775
               597.10712                      -3.2356167
               597.44745                      -3.2235022
               597.78778                      -3.2114336
               597.84991                      -3.2092359
               598.12817                      -3.1994112
               598.46844                      -3.1874347
               598.80884                       -3.175504
               599.14917                       -3.163619
                599.4895                      -3.1517801
               599.82983                      -3.1399865
               600.17017                      -3.1282389
                600.5105                      -3.1165366
               600.85083                      -3.1048799
               601.19122                      -3.0932686
               601.37854                      -3.0868955
               601.53149                      -3.0817027
               601.87189                      -3.0701821
               602.21222                      -3.0587065
               602.55255                      -3.0472763
               602.89288                      -3.0358911
               603.23328                      -3.0245509
               603.57355                      -3.0132556
               603.91394                      -3.0020053
               604.25427                      -2.9907997
                604.5946                      -2.9796388
               604.92804                      -2.9687469
               604.93494                      -2.9685225
               605.27527                      -2.9574511
                605.6156                       -2.946424
               605.95593                      -2.9354413
               606.29633                      -2.9245031
                606.6366                       -2.913609
               606.97699                      -2.9027593
               607.31732                      -2.8919539
               607.65765                      -2.8811924
               607.99799                      -2.8704748
               608.33838                      -2.8598013
               608.49847                       -2.854794
               608.67865                      -2.8491716
               609.01904                      -2.8385859
               609.35938                      -2.8280437
               609.69971                      -2.8175452
               610.04004                      -2.8070903
               610.38037                      -2.7966788
                610.7207                      -2.7863109
               611.06104                      -2.7759862
               611.40143                      -2.7657046
                611.7417                      -2.7554665
               612.08209                      -2.7452714
               612.09003                      -2.7450347
               612.42242                      -2.7351193
               612.76276                      -2.7250102
               613.10309                      -2.7149439
               613.44348                      -2.7049205
               613.78375                      -2.6949399
               614.12415                      -2.6850016
               614.46448                      -2.6751063
               614.80475                      -2.6652532
               615.14514                      -2.6554427
               615.48547                      -2.6456742
                615.7027                      -2.6394618
               615.82581                      -2.6359484
               616.16614                      -2.6262646
               616.50653                      -2.6166227
                616.8468                       -2.607023
               617.18719                       -2.597465
               617.52753                      -2.5879493
               617.86786                       -2.578475
               618.20819                      -2.5690424
               618.54858                      -2.5596516
               618.88885                       -2.550302
               619.22925                      -2.5409942
               619.33679                      -2.5380623
               619.56958                      -2.5317276
               619.90985                      -2.5225022
               620.25024                      -2.5133181
               620.59058                      -2.5041752
               620.93091                      -2.4950731
               621.27124                       -2.486012
               621.61163                      -2.4769919
                621.9519                      -2.4680123
                622.2923                      -2.4590738
               622.63263                      -2.4501755
               622.97296                       -2.441318
               622.99225                      -2.4408181
               623.31329                      -2.4325008
               623.65369                      -2.4237239
               623.99396                      -2.4149873
               624.33435                       -2.406291
               624.67468                      -2.3976345
               625.01495                      -2.3890183
               625.35535                      -2.3804419
               625.69568                      -2.3719053
               626.03601                      -2.3634083
               626.37634                      -2.3549511
               626.66925                      -2.3477044
               626.71674                      -2.3465335
               627.05701                      -2.3381555
                627.3974                      -2.3298166
               627.73773                      -2.3215172
               628.07813                       -2.313257
                628.4184                      -2.3050358
               628.75879                      -2.2968538
               629.09912                      -2.2887106
               629.43945                      -2.2806063
               629.77979                      -2.2725408
               630.12006                       -2.264514
               630.36804                      -2.2586911
               630.46045                      -2.2565258
               630.80078                      -2.2485759
               631.14117                      -2.2406645
               631.48145                      -2.2327914
               631.82184                      -2.2249565
               632.16217                        -2.21716
                632.5025                      -2.2094011
               632.84283                      -2.2016804
               633.18323                      -2.1939976
                633.5235                      -2.1863525
               633.86389                       -2.178745
               634.08862                      -2.1737416
               634.20422                      -2.1711752
               634.54456                      -2.1636429
               634.88489                       -2.156148
               635.22522                      -2.1486902
               635.56555                      -2.1412697
               635.90588                      -2.1338863
               636.24628                      -2.1265402
               636.58655                      -2.1192307
               636.92694                       -2.111958
               637.26727                      -2.1047223
                637.6076                       -2.097523
               637.83118                      -2.0928137
               637.94794                      -2.0903604
               638.28833                      -2.0832343
                638.6286                      -2.0761445
               638.96899                      -2.0690908
               639.30933                      -2.0620735
               639.64966                      -2.0550921
               639.98999                      -2.0481467
               640.33032                      -2.0412374
               640.67065                      -2.0343637
               641.01099                      -2.0275257
               641.35138                      -2.0207233
               641.59583                      -2.0158589
               641.69165                      -2.0139563
               642.03204                      -2.0072248
               642.37238                      -2.0005288
               642.71271                      -1.9938678
               643.05304                      -1.9872419
               643.39343                       -1.980651
                643.7337                      -1.9740951
                644.0741                       -1.967574
               644.41443                      -1.9610876
               644.75476                      -1.9546359
               645.09509                      -1.9482187
               645.38263                      -1.9428229
               645.43542                      -1.9418359
               645.77576                      -1.9354874
               646.11609                      -1.9291732
               646.45648                       -1.922893
               646.79675                      -1.9166471
               647.13715                       -1.910435
               647.47748                      -1.9042567
               647.81781                      -1.8981122
               648.15814                      -1.8920013
               648.49854                      -1.8859239
               648.83881                        -1.87988
                649.1792                      -1.8738694
               649.19189                      -1.8736455
               649.51953                      -1.8678921
               649.85986                       -1.861948
                650.2002                      -1.8560369
               650.54053                      -1.8501588
               650.88086                      -1.8443135
               651.22119                      -1.8385009
               651.56158                       -1.832721
               651.90186                      -1.8269737
               652.24225                      -1.8212588
               652.58258                      -1.8155762
               652.92291                      -1.8099259
               653.02362                      -1.8082608
               653.26324                      -1.8043077
               653.60364                      -1.7987217
               653.94391                      -1.7931675
                654.2843                      -1.7876452
               654.62463                      -1.7821547
               654.96497                      -1.7766957
                655.3053                      -1.7712684
               655.64563                      -1.7658725
               655.98596                      -1.7605079
               656.32629                      -1.7551746
               656.66669                      -1.7498724
               656.87787                      -1.7465972
               657.00696                      -1.7446012
               657.34735                       -1.739361
               657.68768                      -1.7341517
               658.02802                      -1.7289732
               658.36835                      -1.7238252
               658.70874                      -1.7187078
               659.04901                      -1.7136208
                659.3894                       -1.708564
               659.72974                      -1.7035377
               660.07013                      -1.6985414
                660.4104                      -1.6935751
               660.75073                      -1.6886388
               660.75494                      -1.6885779
               661.09106                      -1.6837323
                661.4314                      -1.6788555
               661.77179                      -1.6740084
               662.11206                      -1.6691908
               662.45245                      -1.6644025
               662.79279                      -1.6596437
               663.13318                       -1.654914
               663.47345                      -1.6502135
