        Frequency / THz                Eps'' (Fit)/real
               636.92694                       4.3682146
               637.26727                       4.3751388
                637.6076                       4.3820524
               637.83118                       4.3865881
               637.94794                       4.3889551
               638.28833                       4.3958473
                638.6286                       4.4027281
               638.96899                       4.4095984
               639.30933                       4.4164572
               639.64966                       4.4233055
               639.98999                       4.4301424
               640.33032                       4.4369678
               640.67065                       4.4437823
               641.01099                       4.4505854
               641.35138                        4.457377
               641.59583                       4.4622483
               641.69165                       4.4641571
               642.03204                       4.4709253
               642.37238                       4.4776826
               642.71271                       4.4844279
               643.05304                       4.4911613
               643.39343                       4.4978833
                643.7337                       4.5045934
                644.0741                       4.5112915
               644.41443                       4.5179777
               644.75476                        4.524652
               645.09509                       4.5313139
               645.38263                       4.5369339
               645.43542                       4.5379639
               645.77576                       4.5446014
               646.11609                       4.5512266
               646.45648                       4.5578399
               646.79675                       4.5644407
               647.13715                       4.5710292
               647.47748                       4.5776048
               647.81781                        4.584168
               648.15814                       4.5907187
               648.49854                       4.5972567
               648.83881                       4.6037822
                649.1792                       4.6102948
               649.19189                       4.6105375
               649.51953                       4.6167941
               649.85986                        4.623281
                650.2002                        4.629755
               650.54053                       4.6362157
               650.88086                        4.642664
               651.22119                       4.6490984
               651.56158                         4.65552
               651.90186                       4.6619287
               652.24225                        4.668324
               652.58258                       4.6747055
               652.92291                       4.6810741
               653.02362                       4.6829553
               653.26324                       4.6874294
               653.60364                       4.6937709
               653.94391                        4.700099
                654.2843                       4.7064137
               654.62463                       4.7127147
               654.96497                       4.7190022
                655.3053                       4.7252755
               655.64563                       4.7315354
               655.98596                       4.7377815
               656.32629                       4.7440138
               656.66669                       4.7502322
               656.87787                       4.7540846
               657.00696                       4.7564368
               657.34735                       4.7626271
               657.68768                       4.7688036
               658.02802                       4.7749658
               658.36835                       4.7811141
               658.70874                       4.7872481
               659.04901                       4.7933683
                659.3894                       4.7994738
               659.72974                       4.8055649
               660.07013                       4.8116422
                660.4104                       4.8177047
               660.75073                       4.8237529
               660.75494                       4.8238273
               661.09106                       4.8297863
                661.4314                       4.8358059
               661.77179                       4.8418102
               662.11206                       4.8478003
               662.45245                        4.853776
               662.79279                       4.8597364
               663.13318                       4.8656826
               663.47345                        4.871614
               663.81384                       4.8775306
               664.15411                       4.8834319
               664.49451                       4.8893189
               664.65491                       4.8920884
               664.83484                       4.8951907
               665.17523                       4.9010477
                665.5155                       4.9068899
               665.85583                       4.9127169
               666.19623                        4.918529
                666.5365                       4.9243255
               666.87689                       4.9301076
               667.21722                        4.935874
               667.55756                       4.9416256
               667.89789                       4.9473615
               668.23828                       4.9530826
               668.57788                        4.958776
               668.57855                       4.9587879
               668.91895                       4.9644785
               669.25928                       4.9701533
               669.59961                       4.9758129
               669.93994                       4.9814572
